"","az","date","senat","Anordnung","link","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"2594","1BvQ25/02",2002-07-28,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/07/qk20020728_1bvq002502.html;jsessionid=05560A09B6A172C4050E96BD3A91B3D4.2_cid393",2,"Jaeger","Hömig","Steiner","Jaeger","Hömig","Bryde","Hoffmann-Riem Steiner Papier Hohmann-Dennhardt Haas","Bryde","Steiner","Jaeger Hömig Hoffmann-Riem",2,0,"2","Hoffmann-Riem Steiner Papier Hohmann-Dennhardt Haas",1,FALSE,1
"1910","1BvQ27/02",2002-08-08,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/08/qk20020808_1bvq002702.html;jsessionid=6A9511453CF0163FFB50C8661A0F4D39.2_cid392",2,"Jaeger","Hömig","Hoffmann-Riem","Jaeger","Hömig","Bryde","Hoffmann-Riem Steiner Papier Hohmann-Dennhardt Haas","Bryde","Hoffmann-Riem","Jaeger Hömig Hoffmann-Riem",2,0,"1","Hoffmann-Riem Steiner Papier Hohmann-Dennhardt Haas",2,FALSE,0
"4032","1BvR1744/02",2002-09-30,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/09/rk20020930_1bvr174402.html;jsessionid=1B78F163C31C80666279B69EEA44AC72.2_cid394",2,"Hömig","Hoffmann-Riem","Bryde","Jaeger","Hömig","Bryde","Hoffmann-Riem Steiner Papier Hohmann-Dennhardt Haas","Jaeger","Hoffmann-Riem","Hömig Bryde Hoffmann-Riem",2,0,"1","Hoffmann-Riem Steiner Papier Hohmann-Dennhardt Haas",2,FALSE,0
"4165","2BvR61/03",2003-02-13,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/02/rk20030213_2bvr006103.html;jsessionid=399D11A88B06EFC600FFA5833CBA2E1A.2_cid394",2,"Jentsch","Broß","Lübbe-Wolff","Jaeger","Hömig","Bryde","Hoffmann-Riem Haas Papier Hohmann-Dennhardt Steiner","Jaeger Hömig Bryde","Jentsch Broß Lübbe-Wolff","Hoffmann-Riem Haas Papier",1,0,NA,"Hoffmann-Riem Haas Papier Hohmann-Dennhardt Steiner",1,FALSE,NA
"5589","1BvR710/03",2003-04-15,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/04/rk20030415_1bvr071003.html;jsessionid=07F945090635F7ACF2B688B6D5765BB1.2_cid370",2,"Jaeger","Hömig","Hoffmann-Riem","Jaeger","Hömig","Bryde","Hoffmann-Riem Haas Papier Hohmann-Dennhardt Steiner","Bryde","Hoffmann-Riem","Jaeger Hömig Hoffmann-Riem",2,0,"1","Hoffmann-Riem Haas Papier Hohmann-Dennhardt Steiner",2,FALSE,0
"1263","1BvR1858/04",2004-08-18,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/08/rk20040818_1bvr185804.html;jsessionid=DC786FF2B03E89C7D551440CD235C8EF.2_cid393",2,"Hömig","Hoffmann-Riem","Bryde","Jaeger","Hömig","Bryde","Hoffmann-Riem Haas Papier Hohmann-Dennhardt Steiner","Jaeger","Hoffmann-Riem","Hömig Bryde Hoffmann-Riem",2,0,"1","Hoffmann-Riem Haas Papier Hohmann-Dennhardt Steiner",2,FALSE,0
"4969","1BvR1506/04",2004-08-27,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/08/rk20040827_1bvr150604.html;jsessionid=F4F9565F5A0F9FB891F0E91FA2F4BE84.2_cid392",2,"Jaeger","Haas","Bryde","Jaeger","Hömig","Bryde","Hoffmann-Riem Haas Papier Hohmann-Dennhardt Steiner","Hömig","Haas","Jaeger Bryde Hoffmann-Riem",3,1,"2","Hoffmann-Riem Haas Papier Hohmann-Dennhardt Steiner",2,FALSE,1
"5196","1BvR971/07",2007-05-14,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/05/rk20070514_1bvr097107.html;jsessionid=D1233F58406BEB476EF5E59085154124.2_cid392",2,"Hoffmann-Riem","Bryde","Schluckebier","Bryde","Eichberger","Schluckebier","Hoffmann-Riem Hohmann-Dennhardt Papier Gaier Steiner","Eichberger","Hoffmann-Riem","Bryde Schluckebier Hoffmann-Riem",2,0,"1","Hoffmann-Riem Hohmann-Dennhardt Papier Gaier Steiner",2,FALSE,0
"3646","1BvR1956/06",2008-02-06,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/02/rk20080206_1bvr195606.html;jsessionid=1F11CE875A4F82F7C310B0A4D9AA7613.2_cid361",2,"Gaier","Eichberger","Kirchhof","Hohmann-Dennhardt","Gaier","Kirchhof","Eichberger Hoffmann-Riem Papier Schluckebier Bryde","Hohmann-Dennhardt","Eichberger","Gaier Kirchhof Eichberger",1,0,"1","Eichberger Hoffmann-Riem Papier Schluckebier Bryde",1,FALSE,0
"1746","1BvR467/09",2009-04-14,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/04/rk20090414_1bvr046709.html;jsessionid=70994D0E3F8A6DC87D3C66408D82B1BA.2_cid370",2,"Hohmann-Dennhardt","Gaier","Schluckebier","Hohmann-Dennhardt","Gaier","Kirchhof","Masing Eichberger Papier Schluckebier Bryde","Kirchhof","Schluckebier","Hohmann-Dennhardt Gaier Masing",3,1,"4","Masing Eichberger Papier Schluckebier Bryde",2,FALSE,1
"3629","1BvQ35/09",2009-08-07,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/08/qk20090807_1bvq003509.html;jsessionid=51CD31F9F518680A6559B3561958CEE5.2_cid392",2,"Hohmann-Dennhardt","Bryde","Kirchhof","Hohmann-Dennhardt","Gaier","Kirchhof","Masing Eichberger Papier Schluckebier Bryde","Gaier","Bryde","Hohmann-Dennhardt Kirchhof Masing",2,0,"5","Masing Eichberger Papier Schluckebier Bryde",2,FALSE,1
