"","az","date","senat","Anordnung","link","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"5068","1BvR1224/94",1998-04-04,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/04/rk19980404_1bvr122494.html;jsessionid=66CBD8BFC11D874466FC828CCBBF8544.2_cid392",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"3496","1BvR2114/97",1998-04-06,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/04/rk19980406_1bvr211497.html;jsessionid=DDF90A18386DC79434EAE82538563D3D.2_cid370",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"1231","1BvR415/87",1998-04-09,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/04/rk19980409_1bvr041587.html;jsessionid=DDF90A18386DC79434EAE82538563D3D.2_cid370",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"3947","1BvR416/87",1998-04-09,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/04/rk19980409_1bvr041687.html;jsessionid=DDF90A18386DC79434EAE82538563D3D.2_cid370",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"4921","1BvR44/92",1998-04-09,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/04/rk19980409_1bvr004492.html;jsessionid=94909819E4BC1AB7761BF329EED7A249.2_cid361",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"1282","1BvR1086/92",1998-04-21,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/04/rk19980421_1bvr108692.html;jsessionid=94909819E4BC1AB7761BF329EED7A249.2_cid361",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"4440","1BvR2311/94",1998-04-21,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/04/rk19980421_1bvr231194.html;jsessionid=94909819E4BC1AB7761BF329EED7A249.2_cid361",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"3091","1BvR2146/941BvR2180/94",1998-04-22,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/04/rk19980422_1bvr214694.html;jsessionid=94909819E4BC1AB7761BF329EED7A249.2_cid361",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"974","1BvR587/88",1998-04-24,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/04/rk19980424_1bvr058788.html;jsessionid=94909819E4BC1AB7761BF329EED7A249.2_cid361",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"841","1BvQ9/98",1998-04-30,1,1,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/04/qk19980430_1bvq000998.html;jsessionid=4B792D7337A0DD8C1E8C8F743C91F467.2_cid370",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
"120","1BvR1384/94",1998-05-05,1,0,"http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/05/rk19980505_1bvr138494.html;jsessionid=22DE9A56B5AE7F2AC1621AC313EA584B.2_cid394",1,"Papier","Grimm","Hömig","Papier","Grimm","Hömig","Haas Seibert Steiner Jaeger Kühling",NA,NA,NA,NA,NA,NA,NA,1,TRUE,NA
