"","jahr","senat","kammer","richter","reihenfolge"
"140","ab 02/02/2011",1,2,"Gaier Paulus Britz",321
"141","ab 02/02/2011",1,3,"Kirchhof Schluckebier Baer",321
"142","2012",1,1,"Kirchhof Eichberger Masing",321
"143","2012",1,2,"Gaier Paulus Britz",321
"144","2012",1,3,"Kirchhof Schluckebier Baer",321
"145","ab 19/12/2011",2,1,"Voßkuhle Gerhardt Landau",321
"146","ab 19/12/2011",2,2,"Gerhardt Hermanns Müller",321
"147","ab 19/12/2011",2,3,"Lübbe-Wolff Huber Kessal-Wulf",321
"148","2013",1,1,"Kirchhof Eichberger Britz",321
"149","2013",1,2,"Gaier Schluckebier Paulus",321
"150","2013",1,3,"Kirchhof Masing Baer",321
"151","2013",2,1,"Voßkuhle Gerhardt Huber",321
"152","2013",2,2,"Gerhardt Hermanns Müller",321
"153","2013",2,3,"Lübbe-Wolff Landau Kessal-Wulf",321
"154","2014",1,1,"Kirchhof Eichberger Britz",321
"155","2014",1,2,"Gaier Schluckebier Paulus",321
"156","2014",1,3,"Kirchhof Masing Baer",321
"157","2014",2,1,"Voßkuhle Gerhardt Huber",321
"158","2014",2,2,"Gerhardt Hermanns Müller",321
"159","2014",2,3,"Lübbe-Wolff Landau Kessal-Wulf",321
"160","ab 02/06/2014",2,1,"Voßkuhle Gerhardt Huber",321
"161","ab 02/06/2014",2,2,"Gerhardt Hermanns Müller",321
"162","ab 02/06/2014",2,3,"Landau Kessal-Wulf König",321
"163","ab 15/07/2014",2,1,"Voßkuhle Landau Hermanns",321
"164","ab 15/07/2014",2,2,"Landau Kessal-Wulf König",321
"165","ab 15/07/2014",2,3,"Huber Müller Maidowski",321
"166","2015",1,1,"Kirchhof Eichberger Britz",321
"167","2015",1,2,"Gaier Schluckebier Paulus",321
"168","2015",1,3,"Kirchhof Masing Baer",321
"169","2015",2,1,"Voßkuhle Landau Hermanns",321
"170","2015",2,2,"Landau Kessal-Wulf König",321
"171","2015",2,3,"Huber Müller Maidowski",321
"172","2016",1,1,"Kirchhof Eichberger Britz",321
"173","2016",1,2,"Gaier Schluckebier Paulus",321
"174","2016",1,3,"Kirchhof Masing Baer",321
"175","2016",2,1,"Voßkuhle Landau Hermanns",321
"176","2016",2,2,"Landau Kessal-Wulf König",321
"177","2016",2,3,"Huber Müller Maidowski",321
"178","Ab 14/10/ 2016",1,1,"Kirchhof Schluckebier Ott",321
"179","Ab 14/10/ 2016",1,2,"Eichberger Baer Britz",321
"180","Ab 14/10/ 2016",1,3,"Kirchhof Masing Paulus",321
"181","Ab 14/10/ 2016",1,4,"Schluckebier Paulus Ott",321
"182","Ab 20/07/2016",2,1,"Voßkuhle Kessal-Wulf Maidowski",321
"183","Ab 20/07/2016",2,2,"Huber Kessal-Wulf König",321
"184","Ab 20/07/2016",2,3,"Hermanns Müller Langenfeld",321
"185","2017",1,1,"Kirchhof Schluckebier Ott",321
"186","2017",1,2,"Eichberger Baer Britz",321
"187","2017",1,3,"Kirchhof Masing Paulus",321
"188","2017",1,4,"Schluckebier Paulus Ott",321
"189","2017",2,1,"Voßkuhle Kessal-Wulf Maidowski",321
"190","2017",2,2,"Huber Kessal-Wulf König",321
"191","2017",2,3,"Hermanns Müller Langenfeld",321
"192","2018",1,1,"Kirchhof Ott Christ",321
