i	ID	dateofDecision	senateNumber	chamberNumberCitation	chamberNumberText	judgesFromText_raw	judgesFromText	judgesFromCitation	Anordnung	link
26	25	2BvQ21/98	05.06.1998	2	1	1	 Richter Sommer Jentsch Hassemer  	Sommer, Jentsch, Hassemer	Hassemer, Sommer, Jentsch	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/06/qk19980605_2bvq002198.html;jsessionid=532AFF6F2B05A8827DAD097C95C82A8A.2_cid370
27	26	2BvR2846/09	08.06.2011	2	NA	NA	 Präsident Voßkuhle Di Fabio Mellinghoff Lübbe-Wolff Gerhardt Landau Huber Hermanns  	Voßkuhle, Di Fabio, Mellinghoff, Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns	Voßkuhle, DiFabio, Mellinghoff, Lübbe-Wolff, Gerhardt, Landau, Huber, Hermanns	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/06/rs20110608_2bvr284609.html;jsessionid=483F65C899474C682AE3FFD08EF32BB7.2_cid394
28	27	1BvR1394/07	17.03.2008	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Kirchhof  	Hohmann-Dennhardt, Gaier, Kirchhof	Hohmann-Dennhardt, Gaier, Kirchhof	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/03/rk20080317_1bvr139407.html;jsessionid=9302B7D26FC18AF60523567A9FEC5F58.2_cid361
29	28	2BvL2/97	05.06.1998	2	NA	NA	 Präsidentin Limbach Graßhof Kruis Kirchhof Winter Sommer Jentsch Hassemer  	Limbach, Graßhof, Kruis, Kirchhof, Winter, Sommer, Jentsch, Hassemer	Limbach, Graßhof, Kruis, Kirchhof, Winter, Sommer, Jentsch, Hassemer	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/06/ls19980605_2bvl000297.html;jsessionid=532AFF6F2B05A8827DAD097C95C82A8A.2_cid370
30	29	NA	None	NA	NA	NA	 	No names in the text	None	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/EN/2014/05/rk20140505_2bvr182313en.html;jsessionid=0BEA04140FF4B917C466F5922961EB31.2_cid393
31	30	2BvR1457/96	14.12.2000	2	4	4	 Präsidentin Limbach die Richter Jentsch Di Fabio  	Limbach, Jentsch, Di Fabio	Limbach, Jentsch, DiFabio	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/12/rk20001214_2bvr145796.html;jsessionid=A7A83C8128ACD0340FAF54C5FEAC90B5.2_cid392
32	31	2BvC1/08	25.02.2009	2	NA	NA	 Vizepräsident Voßkuhle Broß Osterloh Di Fabio Mellinghoff Lübbe-Wolff Gerhardt Landau  	Voßkuhle, Broß, Osterloh, Di Fabio, Mellinghoff, Lübbe-Wolff, Gerhardt, Landau	Voßkuhle, Broß, Osterloh, DiFabio, Mellinghoff, Lübbe-Wolff, Gerhardt, Landau	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/02/cs20090225_2bvc000108.html;jsessionid=DE2DE7A6B30E76FF36CB2125BC59788F.2_cid393
33	32	1BvR2006/98	22.08.2000	1	3	3	 Vizepräsidenten Papier die Richterinnen Haas Hohmann-Dennhardt  	Papier, Haas, Hohmann-Dennhardt	Papier, Haas, Hohmann-Dennhardt	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/08/rk20000822_1bvr200698.html;jsessionid=B936E3B7FE84BCE89255E956407C2149.2_cid361
34	33	1BvR356/04	31.03.2004	1	2	NA	 die Richterin Jaeger die Richter Hömig Bryde  	Jaeger, Hömig, Bryde	Jaeger, Hömig, Bryde	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/03/rk20040331_1bvr035604.html;jsessionid=9E6829F4FC5436EB800833982DFC4A87.2_cid392
35	34	2BvC34/14	04.04.2016	2	NA	NA	 Präsident Voßkuhle   Landau   Huber   Hermanns   Müller   Kessal-Wulf   König   Maidowski  	Voßkuhle, Landau, Huber, Hermanns, Müller, Kessal-Wulf, König, Maidowski	Voßkuhle, Landau, Huber, Hermanns, Müller, Kessal-Wulf, König, Maidowski	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2016/04/cs20160404_2bvc003414.html;jsessionid=C8ED9DFE21CFBCF52B7D4F63EE1FC0AF.2_cid370
