i	ID	dateofDecision	senateNumber	chamberNumberCitation	chamberNumberText	judgesFromText_raw	judgesFromText	judgesFromCitation	Anordnung	link
3422	3421	1BvR1553/14	22.12.2014	1	3	3	 den Vizepräsidenten Kirchhof   den Richter Masing   die Richterin Baer  	Kirchhof, Masing, Baer	Kirchhof, Masing, Baer	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/12/rk20141222_1bvr155314.html;jsessionid=2A8B3D73BE8509FAF901B1058B105062.2_cid361
3423	3422	1BvR1762/951BvR1787/95	23.05.2000	1	NA	NA	 des Vizepräsidenten Papier des Richters Kühling der Richterinnen Jaeger Haas der Richter Hömig Steiner der Richterin Hohmann-Dennhardt  	Papier, Kühling, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt	Papier, Kühling, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/05/rs20000523_1bvr176295.html;jsessionid=FA779C11A3770A75A07E8A84D370C923.2_cid383
3424	3423	1BvR1055/01	05.07.2001	1	3	3	 den Vizepräsidenten Papier die Richterinnen Haas Hohmann-Dennhardt  	Papier, Haas, Hohmann-Dennhardt	Papier, Haas, Hohmann-Dennhardt	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/07/rk20010705_1bvr105501.html;jsessionid=EA47E90F1E095C2B14327FACAD6C592B.2_cid392
3425	3424	1BvQ34/01	10.08.2001	1	1	1	 den Vizepräsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/08/qk20010810_1bvq003401.html;jsessionid=1A5C7763B55372D9DB010EBEA075CD89.2_cid361
3426	3425	2BvR1667/05	24.11.2005	2	1	NA	 den Vizepräsidenten Hassemer die Richter Di Fabio Landau  	Hassemer, Di Fabio, Landau	Hassemer, DiFabio, Landau	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/11/rk20051124_2bvr166705.html;jsessionid=8FA557F2EC25FBFA069E21B2FC558BC5.2_cid394
3427	3426	2BvR2009/99	13.02.2000	2	3	3	 Präsidentin Limbach die Richter Hassemer Broß  	Limbach, Hassemer, Broß	Limbach, Hassemer, Broß	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/02/rk20000213_2bvr200999.html;jsessionid=5680F045B15E5138A96B5EA05B1A2EF3.2_cid383
3428	3427	1BvR305/03	23.04.2003	1	3	3	 den Präsidenten Papier den Richter Steiner die Richterin Hohmann-Dennhardt  	Papier, Steiner, Hohmann-Dennhardt	Papier, Steiner, Hohmann-Dennhardt	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/04/rk20030423_1bvr030503.html;jsessionid=AC1E978DE56A7FDAB0FBB5ABFDF73990.2_cid370
3429	3428	2BvR1083/07	20.06.2007	2	1	NA	 den Vizepräsidenten Hassemer die Richter Di Fabio Landau  	Hassemer, Di Fabio, Landau	Hassemer, DiFabio, Landau	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/06/rk20070620_2bvr108307.html;jsessionid=B2EC19B89D8AF08512724B159718D074.2_cid394
3430	3429	2BvR862/15	19.05.2015	2	2	2	 den Richter Landau   die Richterinnen Kessal-Wulf   König  	Landau, Kessal-Wulf, König	Landau, Kessal-Wulf, König	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/05/rk20150519_2bvr086215.html;jsessionid=F6F231745753032FF32B68E207D3EFB1.2_cid394
3431	3430	1BvR1949/05	09.01.2007	1	2	2	 die Richter Bryde Eichberger Schluckebier  	Bryde, Eichberger, Schluckebier	Bryde, Eichberger, Schluckebier	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/01/rk20070109_1bvr194905.html;jsessionid=C1230190A0535FAEE5932F6D9DC6E70A.2_cid394
3432	3431	2BvR827/98	13.04.1999	2	2	2	 Präsidentin Limbach die Richter Winter Hassemer  	Limbach, Winter, Hassemer	Limbach, Winter, Hassemer	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/04/rk19990413_2bvr082798.html;jsessionid=7B7A510A606374A68901B93B6CD01BAF.2_cid394
3433	3432	2BvR706/09	09.07.2009	2	3	3	 den Vizepräsidenten Voßkuhle den Richter Mellinghoff die Richterin Lübbe-Wolff  	Voßkuhle, Mellinghoff, Lübbe-Wolff	Voßkuhle, Mellinghoff, Lübbe-Wolff	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/07/rk20090709_2bvr070609.html;jsessionid=223BE4E499EDA1D5FD8CBC18639C0383.2_cid393
3434	3433	2BvR1761/05	19.01.2006	2	3	3	 den Richter Broß die Richterin Osterloh den Richter Mellinghoff  	Broß, Osterloh, Mellinghoff	Broß, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/01/rk20060119_2bvr176105.html;jsessionid=EC945D561361438A928A6DD77298E136.2_cid383
3435	3434	2BvR515/91	27.10.1998	2	2	2	 Präsidentin Limbach die Richter Winter Hassemer  	Limbach, Winter, Hassemer	Limbach, Winter, Hassemer	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/10/rk19981027_2bvr051591.html;jsessionid=DEF3F1C60389A8955FDDA456C0E829BF.2_cid383
3436	3435	1BvR1209/11	07.03.2012	1	2	2	 die Richter Gaier Paulus die Richterin Britz  	Gaier, Paulus, Britz	Gaier, Paulus, Britz	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/03/rk20120307_1bvr120911.html;jsessionid=F7FE2746D63CF33ABE3BF5A7395AC420.2_cid370
3437	3436	1BvR2355/08	23.06.2009	1	3	3	 den Präsidenten Papier die Richter Bryde Schluckebier  	Papier, Bryde, Schluckebier	Papier, Bryde, Schluckebier	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/06/rk20090623_1bvr235508.html;jsessionid=0D82A334594A141CBB8867ACC299B042.2_cid393
3438	3437	1BvR1659/04	21.06.2006	1	2	2	 die Richterin Haas die Richter Bryde Eichberger  	Haas, Bryde, Eichberger	Haas, Bryde, Eichberger	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/06/rk20060621_1bvr165904.html;jsessionid=D0894AE229C19BD89905F85E82306D99.2_cid370
3439	3438	1BvR1880/10	08.03.2011	1	3	3	 den Vizepräsidenten Kirchhof den Richter Schluckebier die Richterin Baer  	Kirchhof, Schluckebier, Baer	Kirchhof, Schluckebier, Baer	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/03/rk20110308_1bvr188010.html;jsessionid=50F91E4FF539A4ECC579B98A5E1F6B57.2_cid393
3440	3439	2BvR779/04	19.10.2004	2	2	NA	 die Richter Jentsch Broß die Richterin Lübbe-Wolff  	Jentsch, Broß, Lübbe-Wolff	Jentsch, Broß, Lübbe-Wolff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2004/10/rk20041019_2bvr077904.html;jsessionid=4841289164A82B6D6AD8363D5118D3D2.2_cid394
3441	3440	2BvF4/98	08.11.1999	2	NA	NA	 Präsidentin Limbach Kirchhof Sommer Jentsch Hassemer Broß Osterloh  	Limbach, Kirchhof, Sommer, Jentsch, Hassemer, Broß, Osterloh	Limbach, Kirchhof, , Sommer, Jentsch, Hassemer, Broß, Osterloh	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/11/fs19991108_2bvf000498.html;jsessionid=D0C83912D90B6C90D26661055B8BC884.2_cid370
3442	3441	1BvR295/99	29.03.1999	1	1	1	 Vizepräsidenten Papier die Richter Grimm Hömig  	Papier, Grimm, Hömig	Papier, Grimm, Hömig	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/03/rk19990329_1bvr029599.html;jsessionid=C1FA29B8E2193C7A244136CE942B2960.2_cid392
3443	3442	1BvL7/10	08.12.2010	1	3	3	 den Vizepräsidenten Kirchhof die Richter Bryde Schluckebier  	Kirchhof, Bryde, Schluckebier	Kirchhof, Bryde, Schluckebier	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/12/lk20101208_1bvl000710.html;jsessionid=F5B41C3509EEB8C57827659AA0010C51.2_cid370
3444	3443	1BvR870/931BvR906/93	24.01.2002	1	NA	1	 den Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/01/rk20020124_1bvr087093.html;jsessionid=CC07CC00B698262E978F864C4B48B7D8.2_cid383
3445	3444	2BvL8/00	20.07.2001	2	4	4	 die Richterin Präsidentin Limbach die Richter Jentsch Di Fabio  	Limbach, Jentsch, Di Fabio	Limbach, Jentsch, DiFabio	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/07/lk20010720_2bvl000800.html;jsessionid=D514E6B49B0E89A34136118F1E6157FB.2_cid370
3446	3445	2BvR1799/03	04.12.2003	2	3	NA	 den Vizepräsidenten Hassemer die Richterin Osterloh den Richter Mellinghoff  	Hassemer, Osterloh, Mellinghoff	Hassemer, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2003/12/rk20031204_2bvr179903.html;jsessionid=8FA811748426049B281FACC5B13D5EBE.2_cid370
3447	3446	1BvR2075/11	26.10.2011	1	2	2	 die Richter Gaier Paulus die Richterin Britz  	Gaier, Paulus, Britz	Gaier, Paulus, Britz	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/10/rk20111026_1bvr207511.html;jsessionid=CEC2DE1EFFF6CACE94E5C2300BA94C7F.2_cid392
3448	3447	2BvR2599/10	05.05.2011	2	3	3	 den Richter Mellinghoff die Richterin Lübbe-Wolff den Richter Huber  	Mellinghoff, Lübbe-Wolff, Huber	Mellinghoff, Lübbe-Wolff, Huber	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2011/05/rk20110505_2bvr259910.html;jsessionid=3128BD5DE4F09D2A885FD47ED405C691.2_cid383
3449	3448	2BvR1691/07	02.07.2009	2	2	2	 die Richter Broß Di Fabio Landau  	Broß, Di Fabio, Landau	Broß, DiFabio, Landau	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/07/rk20090702_2bvr169107.html;jsessionid=CA10CAD6DA6C6F7A42C8B65FF112B022.2_cid393
3450	3449	1BvR1660/08	28.09.2010	1	3	3	 den Vizepräsidenten Kirchhof die Richter Bryde Schluckebier  	Kirchhof, Bryde, Schluckebier	Kirchhof, Bryde, Schluckebier	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2010/09/rk20100928_1bvr166008.html;jsessionid=5981149DB3760C6375CE28673A43F62B.2_cid393
3451	3450	2BvR766/96	09.04.2000	2	3	3	 Präsidentin Limbach die Richter Hassemer Di Fabio  	Limbach, Hassemer, Di Fabio	Limbach, Hassemer, DiFabio	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/04/rk20000409_2bvr076696.html;jsessionid=06A18F8033DC963E9770A87E2F2EAD5C.2_cid383
3452	3451	2BvR701/00	06.10.2000	2	1	1	 die Richter Sommer Broß die Richterin Osterloh  	Broß, Sommer, Osterloh	Sommer, Broß, Osterloh	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/10/rk20001006_2bvr070100.html;jsessionid=465235E7A8872EFAB632D015768ACE00.2_cid361
3453	3452	1BvR558/911BvR1428/91	26.06.2002	1	NA	NA	 des Präsidenten Papier der Richterinnen Jaeger Haas der Richter Hömig Steiner der Richterin Hohmann-Dennhardt der Richter Hoffmann-Riem Bryde  	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/06/rs20020626_1bvr055891.html;jsessionid=81488CACDF83D350EC28126667CAF0CD.2_cid361
3454	3453	2BvR567/99	14.03.2001	2	1	1	 die Richter Sommer Broß Mellinghoff  	Sommer, Broß, Mellinghoff	Sommer, Broß, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/03/rk20010314_2bvr056799.html;jsessionid=C394406C79184F322E857672D87BC46E.2_cid370
3455	3454	2BvR702/01	31.07.2001	2	2	2	 den Richter Sommer die Richterin Osterloh den Richter Di Fabio  	Sommer, Osterloh, Di Fabio	Sommer, Osterloh, DiFabio	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/07/rk20010731_2bvr070201.html;jsessionid=D514E6B49B0E89A34136118F1E6157FB.2_cid370
3456	3455	1BvR893/09	30.06.2009	1	2	2	 die Richterin Hohmann-Dennhardt die Richter Gaier Kirchhof  	Hohmann-Dennhardt, Gaier, Kirchhof	Hohmann-Dennhardt, Gaier, Kirchhof	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/06/rk20090630_1bvr089309.html;jsessionid=CE09042F268F546676D59170288C920C.2_cid392
3457	3456	2BvR1661/06	24.01.2008	2	2	2	 den Richter Broß die Richterin Lübbe-Wolff den Richter Gerhardt  	Broß, Lübbe-Wolff, Gerhardt	Broß, Lübbe-Wolff, Gerhardt	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/01/rk20080124_2bvr166106.html;jsessionid=B2C36419F9D39A9AE2102F7EAA3E7D78.2_cid394
3458	3457	2BvR1620/01	10.10.2001	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Mellinghoff  	Limbach, Hassemer, Mellinghoff	Limbach, Hassemer, Mellinghoff	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/10/rk20011010_2bvr162001.html;jsessionid=8A7EF691B455FE1DCA7920440CF41733.2_cid383
3459	3458	2BvR2961/12	11.01.2016	2	3	3	 die Richter Huber   Müller   Maidowski  	Huber, Müller, Maidowski	Huber, Müller, Maidowski	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2016/01/rk20160111_2bvr296112.html;jsessionid=3E6764BD0E12E794E6AD3584F64CDD16.2_cid370
3460	3459	2BvR1120/12	04.10.2012	2	1	1	 den Präsidenten Voßkuhle die Richter Gerhardt Landau  	Voßkuhle, Gerhardt, Landau	Voßkuhle, Gerhardt, Landau	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/10/rk20121004_2bvr112012.html;jsessionid=F57221A06D40EA6EFF826FFEE6121191.2_cid393
3461	3460	2BvR1152/01	25.09.2001	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Mellinghoff  	Limbach, Hassemer, Mellinghoff	Limbach, Hassemer, Mellinghoff	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/09/rk20010925_2bvr115201.html;jsessionid=59EBB97AE2D888A5E530CB86AB7AD6AD.2_cid361
3462	3461	1BvL5/08	17.12.2013	1	NA	NA	 Vizepräsident Kirchhof Gaier Eichberger Schluckebier Masing Paulus Baer Britz  	Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz	Kirchhof, Gaier, Eichberger, Schluckebier, Masing, Paulus, Baer, Britz, Masing	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2013/12/ls20131217_1bvl000508.html;jsessionid=EC96AD7626F4F98DDB14C162E5E04834.2_cid383
3463	3462	1BvR1863/13	19.02.2014	1	3	3	 den Vizepräsidenten Kirchhof   den Richter Masing   die Richterin Baer  	Kirchhof, Masing, Baer	Kirchhof, Masing, Baer	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/02/rk20140219_1bvr186313.html;jsessionid=02E3EBDB2F6A2935C700813F82DF7AD2.2_cid392
3464	3463	1BvR962/94	19.02.1998	1	NA	1	 Vizepräsidenten Seidl die Richter Grimm Hömig  	Seidl, Grimm, Hömig	Grimm, Hömig, Seidl	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1998/02/rk19980219_1bvr096294.html;jsessionid=C7358214ECF1A4862E08519A560CEC26.2_cid393
3465	3464	1BvR594/06	20.06.2006	1	3	3	 den Präsidenten Papier die Richter Steiner Gaier  	Papier, Steiner, Gaier	Papier, Steiner, Gaier	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/06/rk20060620_1bvr059406.html;jsessionid=D0894AE229C19BD89905F85E82306D99.2_cid370
3466	3465	2BvR666/16	18.04.2016	2	3	3	 die Richter Huber   Müller   Maidowski  	Huber, Müller, Maidowski	Huber, Müller, Maidowski	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2016/04/rk20160418_2bvr066616.html;jsessionid=C8ED9DFE21CFBCF52B7D4F63EE1FC0AF.2_cid370
3467	3466	2BvR372/05	15.12.2005	2	3	NA	 den Richter Broß die Richterin Osterloh den Richter Mellinghoff  	Broß, Osterloh, Mellinghoff	Broß, Osterloh, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2005/12/rk20051215_2bvr037205.html;jsessionid=0CC78EAB091323DC79632828401B1724.2_cid394
3468	3467	1BvR22/12	27.02.2012	1	1	1	 den Vizepräsidenten Kirchhof die Richter Eichberger Masing  	Kirchhof, Eichberger, Masing	Kirchhof, Eichberger, Masing	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2012/02/rk20120227_1bvr002212.html;jsessionid=62C848AB3FACEDC8B4EC288613DDF536.2_cid361
3469	3468	NA	None	NA	NA	NA	 	No names in the text	None	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/EN/2015/09/rk20150914_1bvr132113en.html;jsessionid=9C0870F43D3ABC03D62E604F35F5B708.2_cid393
3470	3469	2BvR2487/08	15.01.2009	2	2	2	 die Richter Broß Di Fabio Landau  	Broß, Di Fabio, Landau	Broß, DiFabio, Landau	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/01/rk20090115_2bvr248708.html;jsessionid=40C0624DAA787F9CE093202B006C7133.2_cid370
3471	3470	1BvR622/01	09.10.2001	1	NA	NA	 des Vizepräsidenten Papier der Richterinnen Jaeger Haas der Richter Hömig Steiner der Richterin Hohmann-Dennhardt der Richter Hoffmann-Riem Bryde  	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	Papier, Jaeger, Haas, Hömig, Steiner, Hohmann-Dennhardt, Hoffmann-Riem, Bryde	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/10/rs20011009_1bvr062201.html;jsessionid=E37E14790A6FEEB32B9A2869875D8A34.2_cid393
3472	3471	1BvQ12/01	02.03.2001	1	NA	2	 den Vizepräsidenten Papier die Richter Hömig Bryde  	Papier, Hömig, Bryde	Papier, Hömig, Bryde	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/03/qk20010302_1bvq001201.html;jsessionid=79EE152CAADFCC67B30A432BF7EF857B.2_cid394
3473	3472	1BvR1188/92	01.08.2001	1	1	1	 den Vizepräsidenten Papier die Richter Steiner Hoffmann-Riem  	Papier, Steiner, Hoffmann-Riem	Papier, Steiner, Hoffmann-Riem	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/08/rk20010801_1bvr118892.html;jsessionid=B18087CB825D0EE7CC53E3AD29240D61.2_cid370
3474	3473	1BvR1014/01	04.12.2006	1	1	1	 den Präsidenten Papier die Richterin Hohmann-Dennhardt den Richter Hoffmann-Riem  	Papier, Hohmann-Dennhardt, Hoffmann-Riem	Papier, Hohmann-Dennhardt, Hoffmann-Riem	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2006/12/rk20061204_1bvr101401.html;jsessionid=E7E3FDB3ADF4B5024811AF8DA3157A18.2_cid392
3475	3474	1BvR670/08	26.11.2008	1	3	3	 den Präsidenten Papier die Richter Bryde Schluckebier  	Papier, Bryde, Schluckebier	Papier, Bryde, Schluckebier	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/11/rk20081126_1bvr067008.html;jsessionid=83184D9ED7117BDE5754B0B017743976.2_cid393
3476	3475	2BvR1201/98	18.02.1999	2	3	3	 Präsidentin Limbach die Richter Kirchhof Jentsch  	Limbach, Kirchhof, Jentsch	Limbach, Kirchhof, Jentsch	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/02/rk19990218_2bvr120198.html;jsessionid=3C0D9CF7B6FCB3DA6AA735BD0ABAC216.2_cid370
3477	3476	2BvR1790/94	25.05.1999	2	NA	NA	 Präsidentin Limbach Kirchhof Sommer Jentsch Hassemer Broß Osterloh  	Kirchhof, Limbach, Sommer, Broß, Hassemer, Jentsch, Osterloh	Limbach, Kirchhof, Sommer, Jentsch, Hassemer, Broß, Osterloh	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/1999/05/rs19990525_2bvr179094.html;jsessionid=EF9CFB45D94E8EE5BAF98D7CAD323484.2_cid361
3478	3477	1BvR3522/08	15.10.2009	1	3	3	 den Präsidenten Papier die Richter Bryde Schluckebier  	Papier, Bryde, Schluckebier	Papier, Bryde, Schluckebier	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/10/rk20091015_1bvr352208.html;jsessionid=599563C94B37259B50AC4A1BB9EA6E47.2_cid383
3479	3478	2BvL19/09	17.11.2015	2	NA	NA	 Präsident Voßkuhle   Landau   Huber   Hermanns   Müller   Kessal-Wulf   König   Maidowski  	Voßkuhle, Landau, Huber, Hermanns, Müller, Kessal-Wulf, König, Maidowski	Voßkuhle, Landau, Huber, Hermanns, Müller, Kessal-Wulf, König, Maidowski	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2015/11/ls20151117_2bvl001909.html;jsessionid=C63C9442813369C06B76D2FE3C4C1410.2_cid383
3480	3479	2BvR2545/12	23.09.2014	2	2	2	 den Richter Landau   die Richterinnen Kessal-Wulf   König  	Landau, Kessal-Wulf, König	Landau, Kessal-Wulf, König	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/09/rk20140923_2bvr254512.html;jsessionid=9F7FA5043E25EFCB6CFD2D68B0C43284.2_cid394
3481	3480	2BvR1972/07	20.09.2007	2	1	1	 den Vizepräsidenten Hassemer die Richter Di Fabio Landau  	Hassemer, Di Fabio, Landau	Hassemer, DiFabio, Landau	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2007/09/rk20070920_2bvr197207.html;jsessionid=D73E16CDD8CD964BC992CA7E5D3C0508.2_cid361
3482	3481	2BvR1245/00	17.08.2000	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Di Fabio  	Limbach, Hassemer, Di Fabio	Limbach, Hassemer, DiFabio	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/08/rk20000817_2bvr124500.html;jsessionid=B936E3B7FE84BCE89255E956407C2149.2_cid361
3483	3482	1BvR980/13	20.06.2014	1	3	3	 den Vizepräsidenten Kirchhof   den Richter Masing   die Richterin Baer  	Kirchhof, Masing, Baer	Kirchhof, Masing, Baer	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/06/rk20140620_1bvr098013.html;jsessionid=8DD72B7712E6258BDA77F39F0CD2090D.2_cid392
3484	3483	1BvR3396/08	08.12.2008	1	3	3	 den Präsidenten Papier die Richter Bryde Schluckebier  	Papier, Bryde, Schluckebier	Papier, Bryde, Schluckebier	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/12/rk20081208_1bvr339608.html;jsessionid=8C27DD3B537BA8A4AA4A1DA505CB18BE.2_cid392
3485	3484	2BvR287/092BvR400/09	22.05.2009	2	2	2	 die Richter Broß Di Fabio Landau  	Broß, Di Fabio, Landau	Broß, DiFabio, Landau	1	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2009/05/rk20090522_2bvr028709.html;jsessionid=685EAED66EF94CC867571514F3A1EA8C.2_cid361
3486	3485	1BvR3533/13	27.03.2014	1	2	2	 die Richter Gaier   Schluckebier   Paulus  	Gaier, Schluckebier, Paulus	Gaier, Schluckebier, Paulus	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/03/rk20140327_1bvr353313.html;jsessionid=C0F45AC35BC7050764EB5FCEBA2F9221.2_cid361
3487	3486	2BvL2/01	28.03.2002	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Mellinghoff  	Limbach, Hassemer, Mellinghoff	Limbach, Hassemer, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2002/03/lk20020328_2bvl000201.html;jsessionid=F38DEF64098EE1A9A586299319C3E411.2_cid393
3488	3487	2BvR892/12	04.11.2014	2	3	3	 die Richter Huber   Müller   Maidowski  	Huber, Müller, Maidowski	Huber, Müller, Maidowski	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2014/11/rk20141104_2bvr089212.html;jsessionid=9C0AFBA44F1A26DF85D6E9404A7851BD.2_cid394
3489	3488	2BvC2/00	09.10.2000	2	NA	NA	 Präsidentin Limbach Sommer Jentsch Hassemer Broß Osterloh Di Fabio  	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, Di Fabio	Limbach, Sommer, Jentsch, Hassemer, Broß, Osterloh, DiFabio	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/10/cs20001009_2bvc000200.html;jsessionid=E72245B03ED57D57470D6D5BCC75C8CF.2_cid361
3490	3489	1BvL33/97	13.11.2000	1	3	3	 den Vizepräsidenten Papier die Richterinnen Haas Hohmann-Dennhardt  	Papier, Haas, Hohmann-Dennhardt	Papier, Haas, Hohmann-Dennhardt	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2000/11/lk20001113_1bvl003397.html;jsessionid=CB6237CCB0C8652867A14D2FF4A54D66.2_cid393
3491	3490	2BvL1/06	13.02.2008	2	NA	NA	 Vizepräsident Hassemer Broß Osterloh Di Fabio Mellinghoff Lübbe-Wolff Gerhardt Landau  	Hassemer, Broß, Osterloh, Di Fabio, Mellinghoff, Lübbe-Wolff, Gerhardt, Landau	Hassemer, Broß, Osterloh, DiFabio, Mellinghoff, Lübbe-Wolff, Gerhardt, Landau	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2008/02/ls20080213_2bvl000106.html;jsessionid=C0C94B7E9CBFAD5CECE6C6B5D4C0C3D6.2_cid393
3492	3491	2BvR1941/00	21.08.2001	2	3	3	 die Richterin Präsidentin Limbach die Richter Hassemer Mellinghoff  	Limbach, Hassemer, Mellinghoff	Limbach, Hassemer, Mellinghoff	0	http://www.bundesverfassungsgericht.de/SharedDocs/Entscheidungen/DE/2001/08/rk20010821_2bvr194100.html;jsessionid=2C484E53618DE8FD4CFD91BBA0F437AC.2_cid392
