"","jahr","senat","kammer","richter","reihenfolge","start","year","end","gv","col_red","unicol"
"115","ab 01/01/2009",1,1,"Papier Eichberger Masing",321,2009-01-01,2009,2010-01-01,"Schluckebier Bryde Kirchhof Gaier Hohmann-Dennhardt",1,FALSE
"116","2009",1,2,"Hohmann-Dennhardt Gaier Kirchhof",321,2009-01-01,2009,2010-01-01,"Masing Eichberger Papier Schluckebier Bryde",2,FALSE
"117","2009",1,3,"Papier Bryde Schluckebier",321,2009-01-01,2009,2010-01-01,"Kirchhof Gaier Hohmann-Dennhardt Masing Eichberger",1,FALSE
"118","2009",2,1,"Osterloh Mellinghoff Gerhardt ",321,2009-01-01,2009,2010-01-01,"Landau DiFabio Broß Voßkuhle Lübbe-Wolff",2,FALSE
"119","2009",2,2,"Broß DiFabio Landau",321,2009-01-01,2009,2010-01-01,"Voßkuhle Lübbe-Wolff Mellinghoff Gerhardt Osterloh",0,TRUE
"120","2009",2,3,"Voßkuhle Mellinghoff Lübbe-Wolff",132,2009-01-01,2009,2010-01-01,"Gerhardt Osterloh Landau DiFabio Broß",2,FALSE
"121","2010",1,1,"Papier Eichberger Masing",321,2010-01-01,2010,2010-03-15,"Schluckebier Bryde Kirchhof Gaier Hohmann-Dennhardt",1,FALSE
"122","2010",1,2,"Hohmann-Dennhardt Gaier Kirchhof",321,2010-01-01,2010,2010-03-15,"Masing Eichberger Papier Schluckebier Bryde",2,FALSE
"123","2010",1,3,"Papier Bryde Schluckebier",321,2010-01-01,2010,2010-03-15,"Kirchhof Gaier Hohmann-Dennhardt Masing Eichberger",1,FALSE
"124","2010",2,1,"Osterloh Mellinghoff Gerhardt ",321,2010-01-01,2010,2010-11-16,"Landau DiFabio Broß Voßkuhle Lübbe-Wolff",2,FALSE
"125","2010",2,2,"Broß DiFabio Landau",321,2010-01-01,2010,2010-11-16,"Voßkuhle Lübbe-Wolff Mellinghoff Gerhardt Osterloh",0,TRUE
"126","2010",2,3,"Voßkuhle Mellinghoff Lübbe-Wolff",132,2010-01-01,2010,2010-11-16,"Gerhardt Osterloh Landau DiFabio Broß",2,FALSE
"127","ab 15/03/2010",1,1,"Kirchhof Eichberger Masing",321,2010-03-15,2010,2011-01-01,"Schluckebier Bryde Paulus Gaier Hohmann-Dennhardt",1,FALSE
"128","ab 15/03/2010",1,2,"Hohmann-Dennhardt Gaier Paulus",321,2010-03-15,2010,2011-01-01,"Masing Eichberger Kirchhof Schluckebier Bryde",2,FALSE
"129","ab 15/03/2010",1,3,"Kirchhof Bryde Schluckebier",321,2010-03-15,2010,2011-01-01,"Paulus Gaier Hohmann-Dennhardt Masing Eichberger",1,FALSE
"130","ab 16/11/2010",2,1,"Voßkuhle Gerhardt Landau",321,2010-11-16,2010,2011-01-01,"Hermanns DiFabio Huber Lübbe-Wolff Mellinghoff",2,FALSE
"131","ab 16/11/2010",2,2,"DiFabio Gerhardt Hermanns",321,2010-11-16,2010,2011-01-01,"Huber Lübbe-Wolff Mellinghoff Landau Voßkuhle",2,FALSE
"132","ab 16/11/2010",2,3,"Mellinghoff Lübbe-Wolff Huber",321,2010-11-16,2010,2011-01-01,"Landau Gerhardt Voßkuhle Hermanns DiFabio",1,FALSE
"133","ab 01/01/2011",1,1,"Kirchhof Eichberger Masing",321,2011-01-01,2011,2011-02-02,"Schluckebier Bryde Paulus Gaier Hohmann-Dennhardt",1,FALSE
"134","2011",1,2,"Hohmann-Dennhardt Gaier Paulus",321,2011-01-01,2011,2011-02-02,"Masing Eichberger Kirchhof Schluckebier Bryde",2,FALSE
"135","2011",1,3,"Kirchhof Bryde Schluckebier",321,2011-01-01,2011,2011-02-02,"Paulus Gaier Hohmann-Dennhardt Masing Eichberger",1,FALSE
"136","2011",2,1,"Voßkuhle Gerhardt Landau",321,2011-01-01,2011,2012-01-01,"Hermanns DiFabio Huber Lübbe-Wolff Mellinghoff",2,FALSE
"137","2011",2,2,"DiFabio Gerhardt Hermanns",321,2011-01-01,2011,2012-01-01,"Huber Lübbe-Wolff Mellinghoff Landau Voßkuhle",2,FALSE
"138","2011",2,3,"Mellinghoff Lübbe-Wolff Huber",321,2011-01-01,2011,2012-01-01,"Landau Gerhardt Voßkuhle Hermanns DiFabio",1,FALSE
"139","ab 02/02/2011",1,1,"Kirchhof Eichberger Masing",321,2011-02-02,2011,2012-01-01,"Bär Schluckebier Britz Paulus Gaier",1,FALSE
"140","ab 02/02/2011",1,2,"Gaier Paulus Britz",321,2011-02-02,2011,2012-01-01,"Masing Eichberger Kirchhof Bär Schluckebier",2,FALSE
"141","ab 02/02/2011",1,3,"Kirchhof Schluckebier Bär",321,2011-02-02,2011,2012-01-01,"Britz Paulus Gaier Masing Eichberger",1,FALSE
