"","az","date","senat","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"4903"," 2 BvR 61/96  ",1998-05-12,2,2,"Kruis","Winter","Hassemer","Limbach","Kruis","Winter","Kirchhof Graßhof Hassemer Jentsch Sommer","Limbach","Hassemer","Kruis Winter Kirchhof",0,1,"3","Kirchhof Graßhof Hassemer Jentsch Sommer",1,FALSE,1
"3120"," 2 BvQ 37/98 ",1998-12-29,2,2,"Winter","Jentsch","Broß","Limbach","Winter","Hassemer","Kirchhof Jentsch Osterloh Broß Sommer","Limbach Hassemer","Jentsch Broß","Winter Kirchhof Jentsch",0,1,"2 4","Kirchhof Jentsch Osterloh Broß Sommer",0,FALSE,1
"1284"," 2 BvR 398/99  ",1999-03-22,2,2,"Papier","Steiner","Hoffmann-Riem","Limbach","Winter","Hassemer","Kirchhof Jentsch Osterloh Broß Sommer","Limbach Winter Hassemer","Papier Steiner Hoffmann-Riem","Kirchhof Jentsch Osterloh",1,0,NA,"Kirchhof Jentsch Osterloh Broß Sommer",1,FALSE,NA
"3872"," 2 BvR 938/98  ",1999-03-22,2,2,"Gaier","Schluckebier","Paulus","Limbach","Winter","Hassemer","Kirchhof Jentsch Osterloh Broß Sommer","Limbach Winter Hassemer","Gaier Schluckebier Paulus","Kirchhof Jentsch Osterloh",1,0,NA,"Kirchhof Jentsch Osterloh Broß Sommer",1,FALSE,NA
"2545"," 2 BvR 514/99  ",1999-03-30,2,2,"Winter","Jentsch","Osterloh","Limbach","Winter","Hassemer","Kirchhof Jentsch Osterloh Broß Sommer","Limbach Hassemer","Jentsch Osterloh","Winter Kirchhof Jentsch",0,1,"2 3","Kirchhof Jentsch Osterloh Broß Sommer",1,FALSE,1
"774"," 2 BvR 1132/97  ",1999-04-14,2,2,"Limbach","Jentsch","Hassemer","Limbach","Winter","Hassemer","Kirchhof Jentsch Osterloh Broß Sommer","Winter","Jentsch","Limbach Hassemer Kirchhof",2,0,"2","Kirchhof Jentsch Osterloh Broß Sommer",2,FALSE,1
"1689"," 2 BvR 2324/97  ",1999-05-07,2,2,"Limbach","Jentsch","Hassemer","Limbach","Winter","Hassemer","Kirchhof Jentsch Osterloh Broß Sommer","Winter","Jentsch","Limbach Hassemer Kirchhof",2,0,"2","Kirchhof Jentsch Osterloh Broß Sommer",2,FALSE,1
"4343"," 2 BvR 116/99  ",1999-05-15,2,2,"Limbach","Hassemer","Jentsch","Limbach","Winter","Hassemer","Kirchhof Jentsch Osterloh Broß Sommer","Winter","Jentsch","Limbach Hassemer Kirchhof",2,0,"2","Kirchhof Jentsch Osterloh Broß Sommer",2,FALSE,1
"4355"," 2 BvR 867/99  ",1999-06-17,2,2,"Limbach","Hassemer","Broß","Limbach","Winter","Hassemer","Kirchhof Jentsch Osterloh Broß Sommer","Winter","Broß","Limbach Hassemer Kirchhof",2,0,"4","Kirchhof Jentsch Osterloh Broß Sommer",2,FALSE,1
"5123"," 2 BvR 1454/98  ",1999-06-17,2,2,"Limbach","Hassemer","Jentsch","Limbach","Winter","Hassemer","Kirchhof Jentsch Osterloh Broß Sommer","Winter","Jentsch","Limbach Hassemer Kirchhof",2,0,"2","Kirchhof Jentsch Osterloh Broß Sommer",2,FALSE,1
"3876"," 2 BvR 762/98  ",1999-06-23,2,2,"Papier","Bryde","Schluckebier","Limbach","Winter","Hassemer","Kirchhof Jentsch Osterloh Broß Sommer","Limbach Winter Hassemer","Papier Bryde Schluckebier","Kirchhof Jentsch Osterloh",1,0,NA,"Kirchhof Jentsch Osterloh Broß Sommer",1,FALSE,NA
"2810"," 2 BvQ 28/99  ",1999-06-24,2,2,"Limbach","Hassemer","Broß","Limbach","Winter","Hassemer","Kirchhof Jentsch Osterloh Broß Sommer","Winter","Broß","Limbach Hassemer Kirchhof",2,0,"4","Kirchhof Jentsch Osterloh Broß Sommer",2,FALSE,1
"388"," 2 BvR 1067/99  ",1999-06-30,2,2,"Limbach","Jentsch","Hassemer","Limbach","Winter","Hassemer","Kirchhof Jentsch Osterloh Broß Sommer","Winter","Jentsch","Limbach Hassemer Kirchhof",2,0,"2","Kirchhof Jentsch Osterloh Broß Sommer",2,FALSE,1
"4274"," 2 BvR 1368/98  ",1999-07-04,2,2,"Kirchhof","Eichberger","Britz","Limbach","Winter","Hassemer","Kirchhof Jentsch Osterloh Broß Sommer","Limbach Winter Hassemer","Kirchhof Eichberger Britz","Kirchhof Jentsch Osterloh",1,0,"1","Kirchhof Jentsch Osterloh Broß Sommer",1,FALSE,0
"1647"," 2 BvQ 34/99  ",1999-08-06,2,2,"Limbach","Jentsch","Hassemer","Limbach","Winter","Hassemer","Kirchhof Jentsch Osterloh Broß Sommer","Winter","Jentsch","Limbach Hassemer Jentsch",2,0,"1","Jentsch Osterloh Broß Sommer",2,FALSE,0
"4357"," 2 BvQ 30/99  ",1999-08-20,2,2,"Jentsch","Hassemer","Broß","Limbach","Winter","Hassemer","Kirchhof Jentsch Osterloh Broß Sommer","Limbach","Broß","Jentsch Hassemer Kirchhof",1,0,"3","Kirchhof Osterloh Broß Sommer",1,FALSE,1
"188"," 2 BvR 1897/95         2 BvR 3000/95  ",1999-09-28,2,2,"Papier","Steiner","Hohmann-Dennhardt","Limbach","Winter","Hassemer","Kirchhof Jentsch Osterloh Broß Sommer","Limbach Winter Hassemer","Papier Steiner Hohmann-Dennhardt","Kirchhof Jentsch Osterloh",1,0,NA,"Kirchhof Jentsch Osterloh Broß Sommer",1,FALSE,NA
"2017"," 2 BvR 1919/99  ",1999-10-24,2,2,"Papier","Haas","Hohmann-Dennhardt","Limbach","Winter","Hassemer","Kirchhof Jentsch Osterloh Broß Sommer","Limbach Winter Hassemer","Papier Haas Hohmann-Dennhardt","Kirchhof Jentsch Osterloh",1,0,NA,"Kirchhof Jentsch Osterloh Broß Sommer",1,FALSE,NA
"3046"," 2 BvR 2039/99  ",1999-11-03,2,2,"Limbach","Jentsch","Hassemer","Limbach","Winter","Hassemer","Kirchhof Jentsch Osterloh Broß Sommer","Winter","Jentsch","Limbach Hassemer Kirchhof",2,0,"2","Kirchhof Jentsch Osterloh Broß Sommer",2,FALSE,1
"3640"," 2 BvR 1041/00  ",2000-07-25,2,2,"Sommer","Broß","Osterloh","Sommer","Osterloh","DiFabio","Winter Hassemer Limbach Jentsch Broß","DiFabio","Broß","Sommer Osterloh Hassemer",3,1,"4","Hassemer Limbach Jentsch Broß",2,FALSE,1
"1561"," 2 BvR 1363/00  ",2000-08-22,2,2,"Sommer","Jentsch","Broß","Sommer","Osterloh","DiFabio","Winter Hassemer Limbach Jentsch Broß","Osterloh","Jentsch","Sommer Broß Limbach",2,0,"2","Limbach Jentsch",1,FALSE,1
"97"," 2 BvR 1301/01  ",2001-08-17,2,2,"Sommer","Jentsch","Broß","Sommer","Osterloh","DiFabio","Mellinghoff Hassemer Limbach Jentsch Broß","Osterloh DiFabio","Jentsch Broß","Sommer Hassemer Limbach",3,1,"3 4","Hassemer Limbach Jentsch Broß",1,FALSE,1
"2316"," 2 BvQ 32/02  ",2002-06-14,2,2,"Sommer","Jentsch","Osterloh","Jentsch","Broß","Lübbe-Wolff","Mellinghoff Osterloh Hassemer DiFabio Sommer","Broß Lübbe-Wolff","Sommer Osterloh","Jentsch Mellinghoff Osterloh",1,0,"2 5","Mellinghoff Osterloh Hassemer DiFabio Sommer",2,FALSE,1
"1714"," 2 BvR 1332/02  ",2002-08-30,2,2,"Jentsch","Broß","Mellinghoff","Jentsch","Broß","Lübbe-Wolff","Mellinghoff Osterloh Hassemer DiFabio Sommer","Lübbe-Wolff","Mellinghoff","Jentsch Broß Mellinghoff",0,1,"1","Mellinghoff Hassemer DiFabio Sommer",0,FALSE,0
"4785"," 2 BvR 530/03  ",2003-05-06,2,2,"Hassemer","Broß","Lübbe-Wolff","Jentsch","Broß","Lübbe-Wolff","Mellinghoff Osterloh Hassemer DiFabio Sommer","Jentsch","Hassemer","Broß Lübbe-Wolff Mellinghoff",1,0,"3","Mellinghoff Osterloh Hassemer DiFabio Sommer",2,FALSE,1
"3570"," 2 BvR 911/03  ",2003-08-27,2,2,"Jentsch","Broß","Gerhardt","Jentsch","Broß","Lübbe-Wolff","Mellinghoff Osterloh Hassemer Gerhardt DiFabio","Lübbe-Wolff","Gerhardt","Jentsch Broß Mellinghoff",0,1,"4","Mellinghoff Osterloh Hassemer Gerhardt DiFabio",1,FALSE,1
